Bundle ID,Status,Telegram Chat ID,User Message,Voice Transcript,Media,Media Count,Media Type,Created Time,Last Updated,Linked Content,Bundle Media,GPT Status,GPT Output,Content Generated,Project,Bandle number,Bundle ID Auto
B001,Failed,7508426910,"Новое голосовое телеграмму отправляю, как и сказали.","Новое голосовое телеграмму отправляю, как и сказали.",file_37.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1785736800000/GuCwRlv86II9QvLDfBVXWA/zxQBd2zCyYayKow0yDpvzLasXfH75FOtVw0KNSvD4cYzzShppguEGIqX_j4a_dvAorQkcmz9Jvn21Od0JUax15KzrL1oRS04sa4DMNAZqPZ7aEio49G1E5oXG8gQQHrgHH8htqgKYgEfIJkupMOiM9zuAlFiQB2LBv10WclQbE8/NqAb-tthSLsEToTKwtls4UHg_iTOlF03ee96SfZUekw),1,Video,6/3/2026 8:17am,6/11/2026 7:53am,,,Done,,,,1,B001
B002,Failed,,,,file_39 (https://v5.airtableusercontent.com/v3/u/55/55/1785736800000/44qeudg6FWjCLi_zRpZLmA/VYbLvoJZKMmDbGMvKqgfBJJ5Uwz5rm8qXrXGwyTWmo6GMXGQClmokQNyAU9mC3BNB7FUEbUDaev05xTHXVWBs4CveeL7asxQw5-WmfAf0fxTuXBJSqcqpzUfetulNDeMH01FJaeVHNH7JsDinukwut9FICof94g8SICKvcJVeN4/eSTUjmUJh_-U2MS2qLis1h6mphE0-HikYCPuR0NXq7g),1,Photo,6/3/2026 3:30pm,6/11/2026 7:53am,,,Done,,,,2,B002
B003,Failed,,,,file_45 (https://v5.airtableusercontent.com/v3/u/55/55/1785736800000/SRlzyj4r5-_2ZLKH0aE_Cg/ycXpB2Blee768NLPPJrolpNKrWQpK3m2nj0EtND0PszOL1B8eryH5oMAOR6ntULF8Rq4TTTGNDt59IXVKAjfOM7Vs-nCLSNMzmrKazlVHHrDZsJGpl35RDbKWUk6s0IxnvIHzod1TRP9wQ2HCncf2WpOqT_2l_PTfeS4Jdl_2KI/rTv43bU2Ek1H1SVmbMyJu6Vfi9tAcpb0AYK8eWNHot8),1,Photo,6/3/2026 3:34pm,6/11/2026 7:53am,,,Done,,,,3,B003
B004,Failed,,,,file_46 (https://v5.airtableusercontent.com/v3/u/55/55/1785736800000/-PtkxrubrUP4eXfWcdcERA/LnT62gdckZ-PE5eQv5nfytK0srtuGMknuROsEudV378Lw_7aOwIe-CVukh9azdG4-2nAsFr1RXqwQqDZi_6DpSyN9O9aFmenOoM5EPGWemAHo19q-9a20QB1tuNT04SgYF38-bslLTOHz6tRpqRiMRbixLJ31p-vLDWey1MH0D8/h0VJkcESnWORo_EAK7QvRwbIU00yU8Icn4I2ozXJhNg),1,Photo,6/4/2026 9:05am,6/11/2026 7:53am,,,Done,,,,4,B004
B005,Failed,7508426910,,,file_55.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1785736800000/LP5zUB1MwaDivI6xT_pFTQ/AB8S9pSN4aQk3W_ps83FUPalVKHJ5Kt8IlIoBHcv_j7i7ftOwbyXw5mZeB5QZtaLVtB0k6lI38iuJ0BkmstEVvxab99-eM6l_4i7D1d6kR0-wkkw0qOX2SbfpgK9rVCDEQ4KFED42CHZ24dos5Y13nQt4NibrpmqqVFnqz7CEJ8/oqT-bZGZpqOzEYYLmD0z7j_pP8YsskHkpTc7FpIhWYs),1,Video,6/4/2026 9:41am,6/11/2026 7:53am,,"file_49,file_51,file_47,file_53,file_54,file_56,file_57,file_50",Done,,,,5,B005
B006,Failed,7508426910,,,file_60.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1785736800000/NwrQ6lVcUdqvm0Pr5HfIwA/IAhD1HxHEn1tKCR7AsOk1TLACaNLfh69n6r5aeDlg92U8cRy24gnjlpmbkwbqA8Ovel53S-36zYP5JU1Dn_WVL5SCJUol9ekKBhY14gTqpjIf_NNWPhetlNl0NcY6XsVERxhVxEHoITsoYjRbSBrZ0EO9vqzvbAdDqGssGvsjuk/HVnQEbt2Kn98WGST20qtH3AiTpgcRSkhB9NXBjF8Gx4),1,Video,6/4/2026 10:30am,6/11/2026 7:53am,,"file_58,file_60",Done,,,,6,B006
B007,Failed,7508426910,,,file_63.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1785736800000/0A8aPg-kN19H9bGjHpaLQA/UGnJvaTWWjwuOF1FcgATBixozYrzErwgFudqStXtgVu7YBlL-XZm3cYQJ8RaC-Ocv02oc_pzAPDJguxsAM5B2z0ZXa4N2T-1TZOBOscQZgGRg7iC9AMZcRrRGVhiOWL8HiMUgY6VK7sG-QGJ0Cbd47-b8CbAtGhcGHQHYaN4thY/3HqiIOpQo5NWGrRUdJSk5oqH5qctM42PW3B6X4AIxsQ),1,Video,6/4/2026 11:15am,6/11/2026 7:53am,,"file_56,file_61,file_62,file_63,file_64",Done,,,,7,B007
B008,Failed,7508426910,"Вот-вот, голосовое.","Вот-вот, голосовое.",file_68.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1785736800000/x6a_0Mgk3VZwoW6kTnbb-Q/pnpheyrooMForJi3tMo6Aj-X243FNi3Z3ddegGE-DyHpbXnkNSe_8uVpGKVTQO76WfvBoSqHECCfd99xeuj9X9O1Fds9anthL5JC6Q8i4B_XM_3gzmpA9CNAq2216D8MCQ4bSTyFSFd2ot8VHkOPTFwwmG7Pi8ORAtwHa1CKcbM/d08LOQQ7AOglaXi9BR1X-l2lsdIFzZ2rNpgHdNjS9Oc),1,Video,6/4/2026 11:45am,6/10/2026 3:31am,,"file_66,file_67,file_68",Done,,,,8,B008
B009,Failed,7508426910,,,file_70.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1785736800000/DNi9OVavu21Q3YC_c1tUKg/rGhZHSIx-NtZa_YUoR2L6Xuq6p4NUE2c0Zd14nX0XSytw62DJFnS6k_knMaAVoFrMabI-4LqltFTCMG7oBNxB0CJKNPYTNIE0SdCsP44KO3JofDPiwfUTOxb0dYI0QaMFLtSlXFaiYHWRED3jZEI1tn8axiB4lkfJTBOMvLWBDs/K7kXf3c7as2_Iu1Dt3DZooYlRvPKhwhI2NHNliiDk2E),1,Video,6/5/2026 5:47am,6/10/2026 3:31am,,"file_69,file_70",Done,,,,9,B009
B010,Failed,7508426910,,,file_51 (https://v5.airtableusercontent.com/v3/u/55/55/1785736800000/FMOt000N-LuSy4qddHMfDg/SdESIA-bVR1750TbuNUEpG0xvWVBHDo6xzXDjKFGmxjVJdPN8oqWsKkAJQh0yDJNDhIsrzO8RJSORuL7qqAfXAwFzgEFF2fQdXwrbn-ZjBx5rOU61Dfr_wrb3xiEciv7Z4-rLlDBqliQKRNjp337aInhllk4YBgWqNH5ZWaEn84/yGrW-kPRR_OyJ4_U9wAqBheeADjUsR3S6zqOLfx5LMM),1,Photo,6/5/2026 6:36am,6/11/2026 7:53am,,file_51,Done,,,,10,B010
